date,value
2009-06-04,5245
2009-06-05,5249
2009-06-06,5250
2009-06-09,5251
2009-06-10,5252
2009-06-14,5254
2009-06-17,5255
2009-06-18,5257
2009-06-20,5258
2009-06-23,5259
2009-06-24,5260
2009-06-25,5262
2009-06-26,5263
2009-06-28,5268
2009-06-30,5269
2009-07-01,5277
2009-07-09,5278
2009-07-11,5282
2009-07-13,5283
2009-07-19,5287
2009-07-20,5289
2009-07-23,5290
2009-07-26,5294
2009-07-30,5295
2009-08-01,5298
2009-08-02,5301
2009-08-04,5305
2009-08-06,5314
2009-08-07,5320
2009-08-11,5321
2009-08-14,5324
2009-08-18,5325
2009-08-20,5326
2009-08-25,5330
2009-08-27,5331
2009-08-28,5332
2009-08-29,5333
2009-08-31,5334
2009-09-01,5343
2009-09-03,5347
2009-09-06,5367
2009-09-08,5368
2009-09-13,5369
2009-09-14,5370
2009-09-15,5372
2009-09-17,5373
2009-09-19,5374
2009-09-20,5375
2009-09-25,5376
2009-09-30,5382
2009-10-01,5387
2009-10-02,5390
2009-10-04,5392
2009-10-07,5393
2009-10-11,5394
2009-10-21,5395
2009-10-22,5396
2009-10-23,5397
2009-11-01,5405
2009-11-02,5414
2009-11-06,5425
2009-11-10,5426
2009-11-14,5427
2009-11-15,5428
2009-11-18,5429
2009-11-19,5430
2009-11-21,5431
2009-11-26,5432
2009-11-30,5433
2009-12-01,5457
2009-12-04,5460
2009-12-06,5462
2009-12-07,5468
2009-12-08,5470
2009-12-11,5472
2009-12-14,5474
2009-12-15,5475
2009-12-16,5476
2009-12-17,5477
2009-12-19,5478
2009-12-21,5479
2009-12-25,5480
2009-12-26,5481
2009-12-28,5487
2009-12-29,5488
2009-12-30,5489
2009-12-31,5491
2010-01-01,5673
2010-01-05,5674
2010-01-17,5676
2010-01-26,5677
2010-01-29,5678
2010-01-31,5680
2010-02-01,5682
2010-02-03,5683
2010-02-07,5684
2010-02-12,5685
2010-02-15,5686
2010-02-18,5687
2010-02-20,5688
2010-03-01,5697
2010-03-05,5698
2010-03-08,5700
2010-03-13,5701
2010-03-14,5732
2010-03-15,5733
2010-03-21,5736
2010-03-22,5738
2010-03-23,5740
2010-03-24,5741
2010-03-28,5743
2010-03-30,5744
2010-04-01,5750
2010-04-06,5751
2010-04-08,5752
2010-04-09,5753
2010-04-10,5754
2010-04-11,5755
2010-04-24,5756
2010-04-25,5757
2010-04-26,5759
2010-04-27,5760
2010-04-28,5761
2010-05-01,5778
2010-05-03,5779
2010-05-05,5780
2010-05-08,5781
2010-05-09,5782
2010-05-11,5783
2010-05-17,5784
2010-05-19,5786
2010-05-20,5788
2010-05-22,5789
2010-05-26,5790
2010-05-31,5791
2010-06-01,5803
2010-06-02,5816
2010-06-05,5817
2010-06-06,5818
2010-06-12,5819
2010-06-13,5820
2010-06-17,5821
2010-06-19,5822
2010-06-21,5825
2010-06-23,5827
2010-06-25,5828
2010-06-28,5829
2010-06-29,5830
2010-06-30,5832
2010-07-01,5835
